epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.995,1.9232,2.20922,1.50696,0.31364,0.27604,0.18012,0.06581,1.91271,7.00635,1.35178,0.0674072,0.000665158,0.000665158
2,845.123,1.93944,2.04289,1.54332,0.38414,0.36442,0.30992,0.13483,1.68035,9.72021,1.24478,0.0347274,0.00131864,0.00131864
3,1271.54,1.89869,1.96664,1.51016,0.36548,0.35252,0.28173,0.11725,1.72159,14.8659,1.20932,0.00203434,0.00195892,0.00195892
4,1709.19,1.87782,1.93409,1.48963,0.41367,0.35033,0.30799,0.1429,1.65329,16.7859,1.1697,0.0019406,0.0019406,0.0019406
5,2147.9,1.8341,1.85378,1.46316,0.45784,0.38746,0.35862,0.16581,1.57252,13.8287,1.152,0.0019208,0.0019208,0.0019208
6,2585.17,1.79098,1.78879,1.42981,0.47435,0.39585,0.36197,0.15753,1.65166,9.33094,1.16357,0.001901,0.001901,0.001901
7,3022.26,1.76884,1.75101,1.42329,0.50018,0.40717,0.39697,0.18,1.58709,9.16068,1.16826,0.0018812,0.0018812,0.0018812
8,3459.84,1.75361,1.71188,1.41053,0.46775,0.37149,0.3487,0.1536,1.65091,5.01165,1.14939,0.0018614,0.0018614,0.0018614
9,3898.88,1.71469,1.68231,1.3943,0.53884,0.41195,0.42166,0.20392,1.49696,6.51726,1.10806,0.0018416,0.0018416,0.0018416
10,4335.47,1.70784,1.66213,1.38843,0.52953,0.42819,0.43535,0.21112,1.44279,8.27156,1.08979,0.0018218,0.0018218,0.0018218
11,4744.79,1.69361,1.63649,1.37479,0.54294,0.44003,0.4492,0.21212,1.52917,12.2316,1.09482,0.001802,0.001802,0.001802
12,5146.94,1.67561,1.60337,1.36318,0.54774,0.44907,0.45235,0.22538,1.46827,8.2528,1.08611,0.0017822,0.0017822,0.0017822
13,5549.79,1.66587,1.5778,1.35909,0.55603,0.45916,0.47356,0.233,1.43061,8.78057,1.06821,0.0017624,0.0017624,0.0017624
