epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,601.504,2.51064,2.80641,2.00613,0.21452,0.21646,0.11837,0.04189,2.04694,19.3669,1.44042,0.0674072,0.000665158,0.000665158
2,1299.02,2.1525,2.28232,1.693,0.30808,0.27287,0.17956,0.0648,2.00306,10.6117,1.46405,0.0347274,0.00131864,0.00131864
3,2053.69,2.05983,2.17433,1.62124,0.27946,0.24349,0.17257,0.06077,1.90383,8.18765,1.34455,0.00203434,0.00195892,0.00195892
4,2874.57,2.00954,2.1376,1.59629,0.32584,0.26601,0.20121,0.07885,1.85825,5.06606,1.32652,0.0019406,0.0019406,0.0019406
5,3727.95,1.96107,2.06264,1.56112,0.37663,0.31243,0.2707,0.10493,1.75922,8.30601,1.25917,0.0019208,0.0019208,0.0019208
6,4600.94,1.92227,2.00688,1.52932,0.35371,0.32448,0.23053,0.09241,1.73352,13.9792,1.26492,0.001901,0.001901,0.001901
7,5431.52,1.89817,1.97725,1.51858,0.39977,0.35375,0.30515,0.1274,1.68185,7.55138,1.21684,0.0018812,0.0018812,0.0018812
8,6317.52,1.88569,1.92634,1.51013,0.42617,0.36129,0.31044,0.13785,1.65306,11.2423,1.25563,0.0018614,0.0018614,0.0018614
9,7151.29,1.84207,1.88513,1.48202,0.40694,0.31824,0.26867,0.11134,1.70149,7.74033,1.25051,0.0018416,0.0018416,0.0018416
10,7955.95,1.83296,1.85551,1.47838,0.42445,0.33114,0.30441,0.13455,1.58851,15.6989,1.21128,0.0018218,0.0018218,0.0018218
11,8701.62,1.82177,1.8332,1.46566,0.50447,0.38585,0.37553,0.16511,1.62563,6.49183,1.17634,0.001802,0.001802,0.001802
12,9493.99,1.79798,1.80038,1.45274,0.48951,0.39292,0.37886,0.17175,1.57023,8.246,1.16261,0.0017822,0.0017822,0.0017822
13,10279.6,1.76787,1.76446,1.43789,0.51324,0.41292,0.39975,0.18201,1.55164,11.3467,1.14926,0.0017624,0.0017624,0.0017624
14,11083.2,1.77185,1.75496,1.44325,0.52364,0.41478,0.40965,0.18572,1.55857,8.01109,1.17694,0.0017426,0.0017426,0.0017426
15,11897.1,1.76039,1.73834,1.43514,0.53329,0.39858,0.40773,0.19226,1.51923,3.96481,1.12034,0.0017228,0.0017228,0.0017228
16,12693.1,1.7349,1.70856,1.42488,0.5225,0.41964,0.42149,0.19428,1.53305,10.2038,1.13408,0.001703,0.001703,0.001703
17,13486.4,1.73999,1.69336,1.41722,0.5565,0.43448,0.4428,0.21249,1.50998,8.78784,1.14093,0.0016832,0.0016832,0.0016832
18,14271.9,1.70933,1.67803,1.41091,0.53808,0.45305,0.45789,0.22058,1.48314,9.07229,1.10158,0.0016634,0.0016634,0.0016634
19,15073.2,1.71764,1.65135,1.40939,0.53964,0.43919,0.45455,0.22095,1.48574,5.02611,1.11299,0.0016436,0.0016436,0.0016436
20,15540.5,1.71387,1.65265,1.40848,0.51759,0.41866,0.40793,0.20223,1.46662,9.0647,1.11028,0.0016238,0.0016238,0.0016238
21,16305.6,1.69768,1.62778,1.39164,0.57321,0.44404,0.46652,0.22359,1.48067,5.15792,1.11534,0.001604,0.001604,0.001604
