epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.623,2.01078,2.20523,1.54755,0.33869,0.31124,0.23404,0.09546,1.73278,15.1108,1.22903,0.0674072,0.000665158,0.000665158
2,828.785,1.82995,1.88713,1.4466,0.44352,0.38251,0.35088,0.15366,1.62139,8.35103,1.15124,0.0347274,0.00131864,0.00131864
3,1248.59,1.7816,1.81501,1.42156,0.46835,0.39798,0.37582,0.17256,1.53546,17.5053,1.09134,0.00203434,0.00195892,0.00195892
4,1655.53,1.77398,1.77456,1.41087,0.49592,0.41506,0.39698,0.1845,1.50115,9.19734,1.11384,0.0019406,0.0019406,0.0019406
5,2065.84,1.74095,1.71907,1.39137,0.55455,0.42562,0.4349,0.21068,1.49006,10.8792,1.08523,0.0019208,0.0019208,0.0019208
6,2485.48,1.70533,1.66772,1.37022,0.52794,0.42638,0.41445,0.20425,1.48832,10.9785,1.0797,0.001901,0.001901,0.001901
7,2925.3,1.67663,1.62015,1.36359,0.54692,0.44256,0.44135,0.20582,1.4915,3.89247,1.06596,0.0018812,0.0018812,0.0018812
8,3363,1.6816,1.58951,1.35956,0.55223,0.44466,0.45609,0.2216,1.43699,5.92753,1.07233,0.0018614,0.0018614,0.0018614
9,3802.63,1.63903,1.55727,1.33635,0.57645,0.44533,0.47403,0.22998,1.45201,6.00591,1.06761,0.0018416,0.0018416,0.0018416
10,4242.97,1.637,1.53427,1.3369,0.59565,0.45234,0.4785,0.23632,1.41805,10.5495,1.04494,0.0018218,0.0018218,0.0018218
11,4684.15,1.61848,1.51362,1.32433,0.61226,0.47202,0.5037,0.25433,1.40254,8.49638,1.04354,0.001802,0.001802,0.001802
12,5125.3,1.60437,1.49044,1.31772,0.6002,0.47271,0.50048,0.25225,1.40997,4.39121,1.04501,0.0017822,0.0017822,0.0017822
13,5564.11,1.58586,1.45702,1.30874,0.59671,0.49723,0.51893,0.25881,1.39923,6.30462,1.03028,0.0017624,0.0017624,0.0017624
